ID,Crop_Group,Production_Mode,Crop,Field_area,Irrigation,Irrigation_mode,Greenhouse
139,Vegetable,Primary,Green cabbage,0.09,Yes,Localized,No
140,Vegetable,In succession,Green bean,0.5,Yes,Localized,Multi-chapel
141,Vegetable,In succession,Tomato,0.5,Yes,Localized,Multi-chapel
142,Vegetable,Primary,Potato,0.01,Yes,Localized,No
143,Vegetable,Primary,Cucumber,0.5,Yes,Localized,Multi-chapel
144,Vegetable,In succession,Tomato,0.2,Yes,Localized,No
145,Vegetable,Primary,Green bean,0.2,Yes,Localized,No
146,Vegetable,Primary,Coriander and parsley,0.03,Yes,Localized,No
147,Vegetable,In succession,Green bean,0.84,Yes,Localized,No
148,Vegetable,In succession,Tomato,0.84,Yes,Localized,No
149,Vegetable,Primary,Potato,0.84,Yes,Localized,No
150,Vegetable,Primary,Zucchini,1,Yes,Localized,No
151,Vegetable,Primary,Coriander and parsley,0.24,Yes,Localized,No
152,Vegetable,Primary,Zucchini,0.5,Yes,Localized,No
153,Vegetable,Primary,Coriander and parsley,0.4,Yes,Localized,No
154,Vegetable,Primary,Zucchini,1,Yes,Localized,Canarian
155,Vegetable,Primary,Coriander and parsley,0.2,Yes,Localized,Canarian
156,Vegetable,Primary,Potato,0.5,Yes,Localized,No
157,Vegetable,Primary,Green bean,0.65,Yes,Localized,No
158,Vegetable,Primary,Onion,0.3,Yes,Localized,No
159,Vegetable,Primary,Hot pepper,0.3,Yes,Localized,No
160,Vegetable,In succession,Zucchini,0.75,Yes,Localized,No
161,Vegetable,In succession,Lettuce,0.75,Yes,Localized,No
162,Vegetable,Primary,Green bean,0.75,Yes,Localized,No
163,Vegetable,Primary,Green cabbage,0.25,Yes,Localized,No
164,Vegetable,In succession,Zucchini,2,Yes,Aspersion,No
165,Vegetable,Primary,Green bean,1.25,Yes,Localized,No
166,Vegetable,Primary,Zucchini,1.5,Yes,Localized,No
167,Vegetable,Primary,Tomato,2,Yes,Aspersion,No
168,Vegetable,In succession,Green bean,1,No,NA,No
169,Vegetable,In succession,Hot pepper,3,Yes,Localized,No
170,Vegetable,In succession,Zucchini,2.5,Yes,Localized,No
171,Vegetable,In succession,Carrot,2,Yes,Localized,No
172,Vegetable,Primary,Tomato,2.5,Yes,Localized,No
173,Vegetable,Primary,Tomato,2,Yes,Localized,No
174,Vegetable,Primary,Eggplant,1.3,Yes,Aspersion,No
175,Vegetable,Primary,Tomato,0.6,Yes,Aspersion,No
176,Vegetable,In succession,Green cabbage,1.75,Yes,NA,No
177,Vegetable,In succession,Cauliflower,1.75,No,NA,No
178,Vegetable,Primary,Tomato,1.75,No,NA,No
179,Vegetable,In succession,Cauliflower,2,Yes,Localized,No
180,Vegetable,In succession,Zucchini,1.5,Yes,Localized,No
181,Vegetable,In succession,Lettuce,1.5,Yes,Localized,No
182,Vegetable,Primary,Tomato,2,Yes,Localized,No
183,Vegetable,Primary,Eggplant,1.5,Yes,Localized,No
184,Vegetable,Primary,Potato,0.8,Yes,Localized,No
185,Vegetable,Primary,Green bean,0.18,Yes,Localized,No
186,Vegetable,In association,Green bean,0.2,Yes,Localized,No
187,Vegetable,Primary,Zucchini,0.3,Yes,Localized,No
188,Vegetable,Primary,Zucchini,0.48,Yes,Localized,No
189,Vegetable,Primary,Green bean,0.5,Yes,Localized,No
190,Vegetable,In association,Coriander and parsley,0.05,Yes,Localized,No
191,Vegetable,In association,Green bean,0.2,Yes,Localized,No
192,Vegetable,Primary,Potato,0.3,Yes,Localized,No
193,Vegetable,Primary,Green bean,0.5,Yes,Localized,No
194,Vegetable,Primary,Green bean,0.98,Yes,Localized,No
195,Vegetable,Primary,Green bean,1.4,Yes,Aspersion,No
196,Vegetable,Primary,Coriander and parsley,0.38,Yes,Localized,No
197,Vegetable,Primary,Coriander and parsley,0.54,Yes,Localized,No
198,Vegetable,Primary,Green bean,0.5,Yes,Gravity,No
199,Vegetable,Primary,Zucchini,0.76,Yes,Localized,No
200,Vegetable,In association,Green bean,1,Yes,Localized,No
201,Vegetable,Primary,Potato,1,Yes,Localized,No
202,Vegetable,In association,Coriander and parsley,0.75,Yes,Localized,No
203,Vegetable,Primary,Green bean,0.82,Yes,Localized,No
204,Vegetable,Primary,Cucumber,0.5,Yes,Localized,Small tunel
205,Vegetable,Primary,Zucchini,0.5,Yes,Localized,Small tunel
206,Vegetable,Primary,Zucchini,1.2,Yes,Localized,No
207,Vegetable,Primary,Potato,1.35,No,Localized,No
208,Vegetable,Primary,Green bean,0.95,Yes,Localized,No
209,Vegetable,Primary,Cucumber,0.4,Yes,Localized,Small tunel
210,Vegetable,Primary,Green bean,0.64,Yes,Localized,No
211,Vegetable,Primary,Zucchini,0.71,Yes,Localized,No
212,Vegetable,Primary,Zucchini,1,Yes,Localized,No
213,Vegetable,Primary,Potato,0.3,Yes,Localized,No
214,Vegetable,In succession,Celery,0.2,Yes,Localized,No
215,Vegetable,In succession,Lettuce,0.2,Yes,Localized,No
216,Vegetable,In succession,Green bean,1.6,Yes,Localized,No
217,Vegetable,Primary,Coriander and parsley,1.6,Yes,Localized,No
218,Vegetable,In succession,Zucchini,0.75,Yes,Localized,No
219,Vegetable,In succession,Green bean,0.36,Yes,Localized,No
220,Vegetable,In succession,Cucumber,0.36,Yes,Localized,No
221,Vegetable,Primary,Potato,0.75,Yes,Localized,No
222,Vegetable,Primary,Tomato,0.36,Yes,Localized,No
223,Vegetable,In association,Zucchini,0.02,No,NA,No
224,Vegetable,In succession,Green bean,0.5,Yes,Localized,No
225,Vegetable,Primary,Tomato,0.3,Yes,Localized,No
226,Vegetable,Primary,Tomato,0.38,Yes,Localized,No
227,Vegetable,Primary,Tomato,0.5,Yes,Localized,No
228,Vegetable,Primary,Watermelon,1.5,Yes,Localized,No
229,Vegetable,Primary,Zucchini,0.6,Yes,Localized,No
230,Vegetable,Primary,Tomato,0.25,Yes,Gravity,Canarian
231,Vegetable,Primary,Mint,0.75,No,NA,No
232,Vegetable,In succession,Cucumber,0.5,Yes,Localized,No
233,Vegetable,In succession,Zucchini,0.5,Yes,Localized,No
234,Vegetable,Primary,Coriander and parsley,0.51,Yes,Localized,No
235,Vegetable,Primary,Potato,0.5,Yes,Localized,No
236,Vegetable,Primary,Tomato,0.5,Yes,Localized,No
237,Vegetable,In succession,Zucchini,0.5,Yes,Localized,No
238,Vegetable,In succession,Tomato,0.4,Yes,Localized,No
239,Vegetable,In succession,Green bean,0.65,Yes,Localized,No
240,Vegetable,Primary,Green bean,0.5,Yes,Localized,No
241,Vegetable,Primary,Potato,0.4,Yes,Localized,No
242,Vegetable,Primary,Zucchini,0.65,Yes,Localized,No
243,Vegetable,Primary,Green bean,1.11,Yes,Localized,No
244,Vegetable,Primary,Coriander and parsley,1.14,Yes,Localized,No
245,Vegetable,Primary,Coriander and parsley,0.2,Yes,Localized,No
246,Vegetable,Primary,Eggplant,0.75,Yes,Localized,No
247,Vegetable,Primary,Green bean,0.4,No,NA,No
248,Vegetable,Primary,Green bean,0.35,Yes,Localized,No
249,Vegetable,Primary,Zucchini,0.3,Yes,Localized,No
250,Vegetable,Primary,Zucchini,0.35,No,Localized,No
251,Vegetable,Primary,Zucchini,0.79,No,NA,No
252,Vegetable,In succession,Coriander and parsley,0.41,Yes,Localized,No
253,Vegetable,In succession,Zucchini,0.3,Yes,Localized,No
254,Vegetable,Primary,Green bean,0.41,Yes,Localized,No
255,Vegetable,Primary,Potato,0.3,Yes,Localized,No
256,Vegetable,In association,Green bean,0.73,Yes,Localized,No
257,Vegetable,Primary,Potato,0.73,Yes,Localized,No
258,Vegetable,In succession,Coriander and parsley,0.24,Yes,Localized,No
259,Vegetable,In succession,Potato,0.24,Yes,Localized,No
260,Vegetable,Primary,Green bean,0.24,Yes,Localized,No
261,Vegetable,In succession,Green bean,0.2,Yes,Localized,No
262,Vegetable,Primary,Potato,0.47,Yes,Localized,No
263,Vegetable,Primary,Green bean,0.7,Yes,Localized,No
264,Vegetable,Primary,Zucchini,0.49,Yes,Localized,No
265,Vegetable,Primary,Coriander and parsley,0.195,Yes,Localized,No
266,Vegetable,Primary,Potato,0.5,Yes,Localized,No
267,Vegetable,Primary,Coriander and parsley,0.25,Yes,Localized,No
268,Vegetable,Primary,Zucchini,0.2,Yes,Localized,No
269,Vegetable,Primary,Coriander and parsley,0.66,Yes,Localized,No
270,Vegetable,Primary,Coriander and parsley,0.08,Yes,Localized,No
271,Vegetable,In succession,Coriander and parsley,0.5,Yes,Localized,No
272,Vegetable,In succession,Helda bean,0.5,Yes,Localized,No
273,Vegetable,Primary,Potato,0.4,Yes,Localized,No
274,Vegetable,Primary,Zucchini,0.5,Yes,Localized,No
275,Vegetable,Primary,Cucumber,0.3,Yes,Localized,No
276,Vegetable,Primary,Coriander and parsley,0.22,Yes,Localized,No
277,Vegetable,Primary,Zucchini,0.2,Yes,Localized,No
278,Vegetable,In succession,Zucchini,0.11,Yes,Gravity,No
279,Vegetable,Primary,Carrot,0.2,Yes,Gravity,No
280,Vegetable,Primary,Potato,0.1,Yes,Gravity,No
281,Vegetable,Primary,Mint,0.31,Yes,Localized,No
282,Vegetable,Primary,Celery,0.1,Yes,Localized,No
283,Vegetable,Primary,Coriander and parsley,0.1,Yes,Localized,No
284,Vegetable,In succession,Potato,0.4,Yes,Localized,No
285,Vegetable,Primary,Zucchini,0.4,Yes,Localized,No
286,Vegetable,Primary,Coriander and parsley,0.35,Yes,Localized,No
287,Vegetable,Primary,Cucumber,0.2,Yes,Localized,Small tunel
288,Vegetable,Primary,Green bean,1.2,Yes,Localized,No
289,Vegetable,Primary,Zucchini,0.6,Yes,Localized,No
290,Vegetable,In association,Coriander and parsley,0.2,Yes,Localized,No
291,Vegetable,Primary,Green bean,0.3,Yes,Gravity,No
292,Vegetable,In association,Mint,0.2,Yes,Gravity,No
293,Vegetable,In association,Onion,0.05,No,Localized,No
294,Vegetable,Primary,Onion,0.16,No,Gravity,No
295,Vegetable,Primary,Eggplant,0.7,Yes,Localized,No
296,Vegetable,Primary,Artichoke,0.7,Yes,Localized,No
297,Vegetable,Primary,Zucchini,0.69,Yes,Localized,No
298,Vegetable,Primary,Green bean,0.5,Yes,Localized,No
299,Vegetable,Primary,Turnip,0.5,Yes,Localized,No
300,Vegetable,Primary,Green cabbage,0.25,Yes,Localized,No
301,Vegetable,Primary,Cauliflower,0.2,Yes,Localized,No
302,Vegetable,Primary,Coriander and parsley,0.73,Yes,Localized,No
303,Vegetable,Primary,Coriander and parsley,0.1,Yes,Gravity,No
304,Vegetable,Primary,Coriander and parsley,0.2,Yes,Localized,No
305,Vegetable,In succession,Green bean,1.45,Yes,Localized,No
306,Vegetable,In succession,Eggplant,1.45,Yes,Localized,No
307,Vegetable,In succession,Zucchini,1.45,Yes,Localized,No
308,Vegetable,In succession,Zucchini,0.75,Yes,Localized,No
309,Vegetable,Primary,Helda bean,0.25,Yes,Localized,No
310,Vegetable,Primary,Eggplant,0.75,Yes,Localized,No
311,Vegetable,Primary,Lettuce,1.5,Yes,Localized,No
312,Vegetable,Primary,Green bean,1.45,Yes,Localized,No
313,Vegetable,Primary,Coriander and parsley,0.45,Yes,Localized,Canarian
314,Vegetable,Primary,Potato,0.6,Yes,Localized,No
315,Vegetable,Primary,Cucumber,0.2,Yes,Localized,Canarian
316,Vegetable,Primary,Coriander and parsley,0.1,Yes,Localized,Canarian
317,Vegetable,Primary,Potato,0.35,Yes,Localized,No
318,Vegetable,Primary,Tomato,1.15,Yes,Localized,No
319,Vegetable,Primary,Cucumber,1,Yes,Localized,No
320,Vegetable,Primary,Cucumber,0.99,Yes,Localized,No
321,Vegetable,Primary,Mint,0.3,Yes,Localized,No
322,Vegetable,Primary,Cucumber,0.4,Yes,Localized,Small tunel
323,Vegetable,Primary,Kiwat tomato,0.2,Yes,Localized,Small tunel
324,Vegetable,Primary,Mint,0.4,Yes,Localized,No
325,Vegetable,Primary,Coriander and parsley,0.04,Yes,Localized,No
326,Vegetable,Understory,Coriander and parsley,0.4,Yes,Localized,No
327,Vegetable,Understory,Mint,0.3,Yes,Localized,No
328,Vegetable,Understory,Mint,0.5,Yes,Localized,No
329,Vegetable,Understory,Coriander and parsley,0.3,Yes,Localized,No
330,Vegetable,In succession,Coriander and parsley,1.69,Yes,Localized,No
331,Vegetable,Primary,Tomato,1.69,Yes,Localized,No
332,Vegetable,Primary,Coriander and parsley,1.49,Yes,Localized,No
333,Vegetable,Primary,Potato,1.35,Yes,Localized,No
334,Vegetable,Primary,Coriander and parsley,1.3,Yes,Localized,No
335,Vegetable,Primary,Cucumber,0.3,Yes,Localized,No
336,Vegetable,Primary,Cucumber,0.2,Yes,Localized,Small tunel
337,Vegetable,Primary,Cucumber,0.44,Yes,Localized,No
338,Vegetable,Primary,Cucumber,0.48,Yes,Localized,No
339,Vegetable,Primary,Potato,1.2,Yes,Localized,No
340,Vegetable,Primary,Green bean,0.16,Yes,Localized,No
341,Vegetable,In succession,Coriander and parsley,3,Yes,Localized,No
342,Vegetable,In succession,Mint,1.85,Yes,Localized,No
343,Vegetable,Primary,Potato,3,Yes,Localized,No
344,Vegetable,Primary,Tomato,1.85,Yes,Localized,No
345,Vegetable,Primary,Coriander and parsley,0.392,Yes,Localized,No
346,Vegetable,Primary,Potato,0.5,Yes,Localized,No
347,Vegetable,Primary,Green bean,0.5,Yes,Localized,No
348,Vegetable,Primary,Absinthe,0.4,Yes,Gravity,No
349,Vegetable,Primary,Tomato,0.7,Yes,Localized,No
350,Vegetable,Primary,Potato,0.71,Yes,Localized,No
351,Vegetable,In association,Coriander and parsley,0.1,Yes,Localized,No
352,Vegetable,In association,Mint,0.1,Yes,Localized,No
353,Vegetable,Primary,Zucchini,0.48,No,Localized,No
354,Vegetable,Primary,Coriander and parsley,0.05,Yes,Gravity,No
355,Vegetable,Primary,Mint,0.1,No,Gravity,No
356,Vegetable,In succession,Green bean,0.5,Yes,Localized,No
357,Vegetable,In succession,Zucchini,0.5,Yes,Localized,No
358,Vegetable,Primary,Potato,0.5,Yes,Localized,No
359,Vegetable,Primary,Coriander and parsley,0.2,Yes,Localized,No
360,Vegetable,In succession,Green bean,0.5,Yes,Localized,No
361,Vegetable,In succession,Tomato,0.34,Yes,Localized,No
362,Vegetable,In succession,Cucumber,0.34,Yes,Localized,Canarian
363,Vegetable,Primary,Potato,1.07,Yes,Localized,No
364,Vegetable,Primary,Zucchini,0.5,Yes,Localized,No
365,Vegetable,Primary,Cucumber,0.34,Yes,Localized,No
366,Vegetable,Primary,Green bean,0.32,Yes,Localized,No
367,Vegetable,Primary,Tomato,0.34,Yes,Localized,Canarian
368,Vegetable,Primary,Mint,0.5,Yes,Localized,No
369,Vegetable,Primary,Potato,1,Yes,Localized,No
370,Vegetable,Primary,Coriander and parsley,0.29,Yes,Localized,No
371,Vegetable,Primary,Mint,0.15,Yes,Gravity,No
372,Vegetable,In association,Coriander and parsley,0.89,Yes,Localized,No
373,Vegetable,Primary,Mint,0.89,Yes,Localized,No
374,Vegetable,In association,Coriander and parsley,0.43,Yes,Localized,No
375,Vegetable,Primary,Mint,0.43,Yes,Localized,No
376,Vegetable,Primary,Tomato,0.3,Yes,Localized,No
377,Vegetable,In association,Coriander and parsley,0.2,Yes,Localized,No
378,Vegetable,In association,Mint,0.2,Yes,Localized,No
379,Vegetable,In association,Zucchini,0.14,Yes,Localized,No
380,Vegetable,In association,Pepper,0.1,Yes,Localized,No
381,Vegetable,Primary,Potato,1,Yes,Localized,No
382,Vegetable,In association,Tomato,1,Yes,Localized,No
383,Vegetable,In association,Coriander and parsley,0.63,Yes,Localized,No
384,Vegetable,Primary,Mint,0.63,Yes,Localized,No
385,Vegetable,Primary,Mint,0.5,Yes,Pivot,No
386,Vegetable,Primary,Coriander and parsley,0.45,Yes,Pivot,No
387,Vegetable,Primary,Zucchini,0.65,Yes,Pivot,No
388,Vegetable,Primary,Cucumber,0.3,Yes,Pivot,Big Tunel
389,Vegetable,Primary,Potato,0.08,No,NA,No
390,Vegetable,Primary,Green cabbage,0.02,No,NA,No
391,Vegetable,Primary,Endive,0.2,No,NA,No
392,Vegetable,Primary,Green cabbage,0.01,No,NA,No
393,Vegetable,In association,Potato,0.5,Yes,Localized,No
394,Vegetable,Primary,Tomato,0.5,Yes,Localized,No
395,Vegetable,Primary,Potato,0.86,Yes,Pivot,Big Tunel
396,Vegetable,Primary,Cucumber,0.2,Yes,Pivot,Big Tunel
397,Vegetable,In succession,Cauliflower,3.84,Yes,Pivot,No
398,Vegetable,In succession,Blueberry,10.45,Yes,Localized,Big Tunel
399,Vegetable,Primary,Potato,10.45,Yes,Localized,Big Tunel
400,Vegetable,Primary,Green bean,1.08,No,NA,No
401,Vegetable,Primary,Cucumber,0.18,Yes,Localized,Small tunel
402,Vegetable,Primary,Green bean,0.74,Yes,Localized,No
403,Vegetable,Primary,Cucumber,0.5,Yes,Localized,Big Tunel
404,Vegetable,Primary,Green bean,0.6,Yes,Localized,Canarian
405,Vegetable,In association,Green bean,0.8,Yes,Localized,No
406,Vegetable,In association,Onion,0.5,Yes,Localized,No
407,Vegetable,Primary,Potato,0.73,Yes,Localized,No
408,Vegetable,Primary,Potato,1,Yes,Localized,No
409,Vegetable,Primary,Coriander and parsley,0.5,Yes,Localized,No
410,Vegetable,Primary,Zucchini,0.235,Yes,Localized,No
411,Vegetable,Primary,Cucumber,0.5,No,Localized,Small tunel
412,Vegetable,Primary,Potato,1.5,Yes,Localized,No
413,Vegetable,Primary,Potato,1.25,Yes,Localized,No
414,Vegetable,Primary,Zucchini,0.3,Yes,"Gravity, Localized",Canarian
415,Vegetable,Primary,Tomato,0.25,Yes,"Gravity, Localized",Canarian
416,Vegetable,Primary,Cucumber,0.2,Yes,"Gravity, Localized",Canarian
417,Vegetable,Primary,Green bean,0.25,Yes,Localized,No
418,Vegetable,Primary,Zucchini,1.32,No,NA,No
419,Vegetable,Primary,Zucchini,0.81,Yes,Localized,No
420,Vegetable,Primary,Cucumber,0.16,Yes,Localized,Small tunel
421,Vegetable,Primary,Coriander and parsley,0.63,Yes,Localized,No
422,Vegetable,In succession,Cucumber,3.11,Yes,Localized,No
423,Vegetable,In succession,Zucchini,2.6,Yes,Localized,No
424,Vegetable,Primary,Potato,3.11,Yes,Localized,No
425,Vegetable,Primary,Tomato,1.64,Yes,Localized,No
426,Vegetable,Primary,Potato,1.51,Yes,Localized,No
427,Vegetable,Primary,Tomato,2.6,Yes,Localized,No
428,Vegetable,Primary,Zucchini,0.33,Yes,Localized,No
429,Vegetable,In succession,Coriander and parsley,2.32,Yes,Localized,No
430,Vegetable,Primary,Tomato,2.32,Yes,Localized,No
431,Vegetable,In succession,Carrot,5.5,No,Gravity,No
432,Vegetable,In succession,Zucchini,4,No,Gravity,No
433,Vegetable,In succession,Zucchini,4.11,No,Gravity,No
434,Vegetable,Primary,Eggplant,0.8,Yes,Localized,No
435,Vegetable,Primary,Artichoke,0.7,Yes,Localized,No
436,Vegetable,Primary,Coriander and parsley,0.6,Yes,Localized,No
437,Vegetable,Primary,Potato,5.5,No,Gravity,No
438,Vegetable,Primary,Potato,4,No,Gravity,No
439,Vegetable,Primary,Potato,4.11,No,Gravity,No
440,Vegetable,Primary,Carrot,1.01,No,Localized,Small tunel
